"LAND SQUARE FEET","TAX CLASS AT TIME OF SALE","COMMERCIAL UNITS","BLOCK","ZIP CODE","RESIDENTIAL UNITS","TOTAL UNITS","BUILDING CLASS CATEGORY","BUILDING CLASS AT PRESENT","NEIGHBORHOOD","SALE PRICE"
-0.128891330586047,-0.624811711742519,-0.24151206480613,0.664563770036593,0.146258658840413,-0.224181400531743,-0.237402954192556,1,5,2,3
-0.1231610291066,-0.624811711742519,-0.24151206480613,-0.494476821151083,0.500424432124081,-0.120030875541534,-0.134492167953976,2,10,30,3
-0.0834897111719665,3.19744590495315,2.19453425114677,-0.420155224800574,-0.089851856682033,-0.328331925521952,-0.134492167953976,22,32,34,2
-0.100222191491952,-0.624811711742519,-0.24151206480613,0.604353869195675,0.146258658840413,-0.015880350551325,-0.0315813817153958,3,14,2,2
-0.0677269741792721,-0.624811711742519,-0.24151206480613,1.46893041408324,0.44139680324347,-0.224181400531743,-0.237402954192556,1,1,28,2
-0.145994076540089,-0.624811711742519,-0.24151206480613,0.677734685845544,0.146258658840413,-0.224181400531743,-0.237402954192556,1,5,33,2
-0.142820371105318,-0.624811711742519,-0.24151206480613,0.436895082481871,0.323341545482247,-0.224181400531743,-0.237402954192556,1,5,2,3
-0.128891330586047,-0.624811711742519,-0.24151206480613,0.0436491676146241,-0.148879485562644,-0.224181400531743,-0.237402954192556,1,1,27,3
-0.11129489711993,-0.624811711742519,-0.24151206480613,0.635399599316773,0.146258658840413,-0.120030875541534,-0.134492167953976,2,10,2,3
-0.144125116672946,-0.624811711742519,-0.24151206480613,-0.452141734622312,0.500424432124081,-0.224181400531743,-0.237402954192556,1,5,6,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.316669457730246,-0.089851856682033,-0.224181400531743,-0.237402954192556,12,73,24,2
-0.137601388834807,-0.624811711742519,-0.24151206480613,-1.17089742591077,-0.38499000108509,-0.328331925521952,-0.340313740431136,5,88,1,1
-0.137001911141572,-0.624811711742519,-0.24151206480613,-0.216946809462475,-0.089851856682033,-0.015880350551325,-0.0315813817153958,3,14,20,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.35039217180268,-0.0308242278014216,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.128891330586047,-0.624811711742519,-0.24151206480613,-0.531167229476017,0.500424432124081,-0.015880350551325,-0.0315813817153958,3,14,30,3
-0.150666476207946,-0.624811711742519,-0.24151206480613,-0.492595261749804,0.500424432124081,-0.120030875541534,-0.134492167953976,2,13,30,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.830335174279329,0.382369174362858,0.00131442727351636,0.00127493077969798,10,24,36,3
-0.128891330586047,-0.624811711742519,-0.24151206480613,0.690905601654495,0.146258658840413,-0.224181400531743,-0.237402954192556,1,1,33,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.322314135934082,-0.089851856682033,-0.224181400531743,-0.237402954192556,12,73,24,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.40966129294296,-0.0308242278014216,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.128891330586047,-0.624811711742519,-0.24151206480613,-0.00621215651926132,-0.148879485562644,-0.120030875541534,-0.134492167953976,2,12,20,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.5733569608542,0.44139680324347,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.131095292693527,-0.624811711742519,-0.24151206480613,1.11519724664284,0.0872310299598012,-0.224181400531743,-0.237402954192556,1,2,10,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.42471376815319,-0.0308242278014216,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.128891330586047,-0.624811711742519,-0.24151206480613,-0.739079543317313,0.559452061004692,-0.120030875541534,-0.134492167953976,2,10,30,3
-0.0848120884364543,0.649274160489372,0.97651109317032,-0.097467787481278,-0.148879485562644,1.96297962426265,2.0266343430562,8,22,29,2
-0.141233518387933,-0.624811711742519,-0.24151206480613,-0.0127976144237368,-0.089851856682033,-0.120030875541534,-0.134492167953976,2,12,20,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.882078057814494,0.205286287721024,0.00131442727351636,0.00127493077969798,10,24,3,2
-0.109901993068002,-0.624811711742519,-0.24151206480613,0.45288833739274,0.323341545482247,-0.120030875541534,-0.134492167953976,2,10,2,3
-0.128309484589672,-0.624811711742519,-0.24151206480613,-0.680751201877673,0.559452061004692,-0.120030875541534,-0.134492167953976,2,10,30,3
-0.128891330586047,-0.624811711742519,-0.24151206480613,1.12742738275115,0.0872310299598012,-0.328331925521952,-0.340313740431136,6,94,10,3
-0.0142853009971059,-0.624811711742519,-0.24151206480613,0.25156148145592,0.205286287721024,0.0882701744388841,0.0713294045231841,2,17,5,3
-0.112458589112679,-0.624811711742519,-0.24151206480613,1.28171525365601,0.0282034010791898,-0.224181400531743,-0.237402954192556,1,1,7,3
